parish,state,project,name,contrac_status,field_status,start_date,end_date,total_mi,mi_remain_plan,mi_remain_contrac_adj,passings,passings_remain_plan,passings_remain_contrac_adj,nepa_overlap_mi,nepa_approved_mi,nepa_blocked_mi,nepa_status,nepa_passing_at_risk,bead_passing,bead_complete_contrac_adj,bead_remain_contrac_adj,bead_rc_points_total,bead_rc_RC1_2,bead_rc_RC3,bead_rc_RC4,bead_rc_RC5_BDC,bead_rc_RC5_OTHER,bead_rc_Jason_Cut,labor_remain_usd,material_remain_usd,unsplit_remain_usd,mainline_remain_usd_total,labor_remain_source,reason_codes,ocius_project_id
Rapides Parish,LA,CDA-26977,Rapides Parish-NONE-CDA-26977-Stat Area - 2026 - CDA-26977,(no ROQ job),not_started,2026-08-01,2027-04-30,57.19,57.19,57.19,2103.0,2103.0,2103.0,63.31,63.31,0.0,clear,0.0,1190.0,0.0,1190.0,111,0,70,0,0,19,22,,,,,no_ocius_job_match,"wave1_pinned_authority, wave1_ic_remain_from_now, parent_never_active",
Iberia Parish,LA,CDA-27370,Iberia Parish-NONE-CDA-27370-Stat Area - 2027 - CDA-27370,(no ROQ job),not_started,2027-01-01,2027-06-30,49.57,49.57,49.57,2057.0,2057.0,2057.0,37.76,0.0,37.76,blocked,2057.0,484.0,0.0,484.0,109,1,108,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Lafayette Parish,LA,CDA-27380,Lafayette Parish-NONE-CDA-27380-Stat Area - 2027 - CDA-27380,(no ROQ job),not_started,2027-02-01,2027-07-31,25.17,25.17,25.17,2021.0,2021.0,2021.0,38.2,0.0,38.2,blocked,2021.0,131.0,0.0,131.0,21,0,14,0,0,0,7,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Jefferson Davis County,MS,CDA-32561,Jefferson Davis County-NONE-CDA-32561-Stat Area - 2027 - CDA-32561,(no ROQ job),not_started,2027-05-01,2027-08-31,110.36,110.36,110.36,1980.0,1980.0,1980.0,0.0,0.0,0.0,no_data,1980.0,1302.0,0.0,1302.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_2027_spread",
Jefferson Davis County,MS,CDA-32560,Jefferson Davis County-NONE-CDA-32560-Stat Area - 2027 - CDA-32560,(no ROQ job),not_started,2027-02-01,2027-05-31,79.8,79.8,79.8,1970.0,1970.0,1970.0,0.0,0.0,0.0,no_data,1970.0,1139.0,0.0,1139.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_2027_spread",
Concordia Parish,LA,CDA-26968,Concordia Parish-NONE-CDA-26968-Stat Area - 2026 - CDA-26968,(no ROQ job),not_started,2027-01-01,2027-03-31,4.14,4.14,4.14,1951.0,1951.0,1951.0,1.44,1.44,0.0,clear,0.0,8.0,0.0,8.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Evangeline Parish,LA,CDA-26544,Evangeline Parish-NONE-CDA-26544-Stat Area - 2026 - CDA-26544,(no ROQ job),not_started,2026-11-01,2027-06-30,60.28,60.28,60.28,1937.0,1937.0,1937.0,66.51,66.51,0.0,clear,0.0,515.0,0.0,515.0,85,0,70,0,0,0,15,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Iberia Parish,LA,CDA-27369,Iberia Parish-NONE-CDA-27369-Stat Area - 2027 - CDA-27369,(no ROQ job),not_started,2027-04-01,2027-08-31,45.94,45.94,45.94,1919.0,1919.0,1919.0,50.1,0.0,50.1,blocked,1919.0,370.0,0.0,370.0,54,0,54,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Iberia Parish,LA,CDA-27368,Iberia Parish-NONE-CDA-27368-Stat Area - 2027 - CDA-27368,(no ROQ job),not_started,2026-11-01,2027-06-30,53.68,53.68,53.68,1856.0,1856.0,1856.0,66.76,0.0,66.76,blocked,1856.0,595.0,0.0,595.0,278,2,81,0,0,0,195,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Rapides Parish,LA,CDA-27343,Rapides Parish-NONE-CDA-27343-Stat Area - 2026 - CDA-27343,(no ROQ job),not_started,2027-05-01,2027-09-30,68.8,68.8,68.8,1789.0,1789.0,1789.0,57.94,0.0,57.94,blocked,1789.0,436.0,0.0,436.0,38,0,28,0,0,0,10,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
